time,x,y,z,degree,deltax,deltay,deltaz,resultant,moving,Turning
2.96784E+14,0.24645996,8.671585,4.615753,-232.59555,0.045456,0.002396,-0.026321,0.052581,0, 
2.96784E+14,0.14596558,8.650055,4.6731873,-232.6877,-0.100494,-0.021530,0.057434,0.117734,0, 
2.96784E+14,0.112457275,8.712265,4.536789,-232.87277,-0.033508,0.062210,-0.136398,0.153614,0, 
2.96784E+14,0.14117432,8.705093,4.54158,-233.02065,0.028717,-0.007172,0.004791,0.029984,0, 
2.96784E+14,0.17468262,8.678772,4.646866,-233.15675,0.033508,-0.026321,0.105286,0.113581,0, 
2.96784E+14,0.22492981,8.690735,4.6085815,-233.20395,0.050247,0.011963,-0.038284,0.064293,0, 
2.96784E+14,0.14117432,8.676376,4.584656,-233.28198,-0.083755,-0.014359,-0.023926,0.088281,0, 
2.96784E+14,0.13160706,8.729019,4.5511475,-233.36348,-0.009567,0.052643,-0.033508,0.063132,0, 
2.96784E+14,0.102890015,8.659622,4.6301117,-233.48392,-0.028717,-0.069397,0.078964,0.108977,0, 
2.96784E+14,0.13400269,8.554337,4.5511475,-233.51556,0.031113,-0.105286,-0.078964,0.135235,0, 
2.96784E+14,0.062210083,8.738586,4.524826,-233.56242,-0.071793,0.184250,-0.026321,0.199487,0, 
2.96784E+14,0.023925781,8.712265,4.9172516,-233.69293,-0.038284,-0.026321,0.392426,0.395166,0, 
2.96784E+14,0.14596558,8.664413,4.7808533,-233.55852,0.122040,-0.047852,-0.136398,0.189177,0, 
2.96784E+14,0.009567261,8.891724,4.4291077,-233.48532,-0.136398,0.227310,-0.351746,0.440454,0, 
2.96784E+14,-0.0382843,8.815155,4.6372833,-233.74542,-0.047852,-0.076569,0.208176,0.226913,0, 
2.96784E+14,0.2632141,8.705093,4.6612244,-233.81473,0.301498,-0.110062,0.023941,0.321851,0, 
2.96784E+14,0.28234863,8.650055,4.5009003,-233.8327,0.019135,-0.055038,-0.160324,0.170585,0, 
2.96784E+14,0.01675415,8.822342,4.342972,-233.9426,-0.265594,0.172287,-0.157928,0.353786,0, 
2.96784E+14,0.2536316,8.755341,4.3740845,-234.21774,0.236877,-0.067001,0.031113,0.248129,0, 
2.96784E+14,0.70588684,8.535202,4.565506,-234.43872,0.452255,-0.220139,0.191422,0.538180,0, 
2.96784E+14,0.50727844,8.678772,4.5702972,-234.43288,-0.198608,0.143570,0.004791,0.245113,0, 
2.96784E+14,0.06939697,8.731415,4.4985046,-234.47205,-0.437881,0.052643,-0.071793,0.446840,0, 
2.96784E+14,0.124420166,8.848663,4.3358,-234.58035,0.055023,0.117249,-0.162704,0.207960,0, 
2.96784E+14,0.42352295,8.714661,4.577469,-234.8424,0.299103,-0.134003,0.241669,0.407214,0, 
2.96784E+14,0.34695435,8.762512,4.8430786,-234.86674,-0.076569,0.047852,0.265610,0.280537,0, 
2.96784E+14,-0.29910278,9.195618,4.5679016,-234.71771,-0.646057,0.433105,-0.275177,0.825041,0, 
2.96784E+14,0.04067993,9.011368,4.0797577,-234.93877,0.339783,-0.184250,-0.488144,0.622643,0, 
2.96784E+14,0.97387695,8.5950165,4.0582275,-235.43343,0.933197,-0.416351,-0.021530,1.022090,0, 
2.96784E+14,0.62931824,8.970688,4.4267273,-235.74806,-0.344559,0.375671,0.368500,0.629001,0, 
2.96784E+14,0.6006012,9.537796,4.553543,-235.91985,-0.028717,0.567108,0.126816,0.581824,0, 
2.96784E+14,1.5912323,8.453842,4.4195404,-236.20096,0.990631,-1.083954,-0.134003,1.474538,0, 
2.96785E+14,1.6486511,8.525635,3.4648132,-236.0944,0.057419,0.071793,-0.954727,0.959143,0, 
2.96785E+14,-0.44984436,9.18605,3.6562347,-236.81972,-2.098495,0.660416,0.191422,2.208274,1, 
2.96785E+14,0.021530151,9.485153,3.637085,-237.65912,0.471375,0.299103,-0.019150,0.558590,0, 
2.96785E+14,2.0985107,8.226532,4.8143616,-238.55708,2.076981,-1.258621,1.177277,2.698880,1, 
2.96785E+14,1.9525452,8.559128,4.3740845,-237.82248,-0.145966,0.332596,-0.440277,0.570763,0, 
2.96785E+14,0.27038574,9.090332,3.8644104,-237.56337,-1.682159,0.531204,-0.509674,1.836193,0, 
2.96785E+14,-0.17706299,9.214767,3.5126648,-238.09799,-0.447449,0.124435,-0.351746,0.582597,0, 
2.96785E+14,0.77049255,9.164505,3.6490479,-238.98444,0.947556,-0.050262,0.136383,0.958639,0, 
2.96785E+14,1.3591309,8.678772,4.668396,-239.56496,0.588638,-0.485733,1.019348,1.273382,0, 
2.96785E+14,0.90448,8.992233,4.2640076,-239.09229,-0.454651,0.313461,-0.404388,0.684467,0, 
2.96785E+14,0.35891724,9.097519,3.7375946,-239.12625,-0.545563,0.105286,-0.526413,0.765398,0, 
2.96785E+14,0.34217834,9.133408,3.6681976,-239.64122,-0.016739,0.035889,-0.069397,0.079901,0, 
2.96785E+14,0.8877411,8.977875,4.0917206,-240.23512,0.545563,-0.155533,0.423523,0.707955,0, 
2.96785E+14,1.2035828,8.568695,4.4147644,-240.32343,0.315842,-0.409180,0.323044,0.609542,0, 
2.96785E+14,0.6197357,9.142975,3.7854462,-239.95786,-0.583847,0.574280,-0.629318,1.032820,0, 
2.96785E+14,0.16989136,9.236298,3.9457703,-240.3889,-0.449844,0.093323,0.160324,0.486593,0, 
2.96785E+14,0.72262573,8.798416,4.1276245,-240.82631,0.552734,-0.437881,0.181854,0.728235,0, 
2.96785E+14,1.1485596,8.922836,4.027115,-240.82576,0.425934,0.124420,-0.100510,0.454975,0, 
2.96785E+14,0.74894714,8.841476,4.417145,-240.83511,-0.399612,-0.081360,0.390030,0.564299,0, 
2.96785E+14,0.28953552,9.250656,4.0989075,-240.63585,-0.459412,0.409180,-0.318237,0.692649,0, 
2.96785E+14,0.71784973,9.016159,4.043869,-240.92973,0.428314,-0.234497,-0.055038,0.491397,0, 
2.96785E+14,1.3567352,8.731415,4.2113647,-241.11125,0.638885,-0.284744,0.167496,0.719242,0, 
2.96785E+14,0.8542328,8.891724,4.3668976,-240.85037,-0.502502,0.160309,0.155533,0.549907,0, 
2.96785E+14,0.31825256,9.212372,3.9888306,-240.67842,-0.535980,0.320648,-0.378067,0.730085,0, 
2.96785E+14,0.7010956,8.9730835,3.8141632,-241.03075,0.382843,-0.239288,-0.174667,0.484083,0, 
2.96785E+14,1.2681885,8.712265,4.204193,-241.30615,0.567093,-0.260818,0.390030,0.736033,0, 
2.96785E+14,0.9260254,8.884552,4.2544403,-241.04703,-0.342163,0.172287,0.050247,0.386372,0, 
2.96785E+14,0.41874695,9.0711975,3.8524475,-240.91873,-0.507278,0.186646,-0.401993,0.673622,0, 
2.96785E+14,0.44984436,9.140579,3.6681976,-241.27957,0.031097,0.069382,-0.184250,0.199321,0, 
2.96785E+14,1.2945099,8.630905,4.1156616,-241.77126,0.844666,-0.509674,0.447464,1.083260,0, 
2.96785E+14,0.8949127,8.767303,4.244873,-241.50346,-0.399597,0.136398,0.129211,0.441563,0, 
2.96785E+14,-0.026321411,9.387039,3.871582,-241.14194,-0.921234,0.619736,-0.373291,1.171363,0, 
2.96785E+14,0.5790558,8.9730835,3.9098663,-241.7122,0.605377,-0.413956,0.038284,0.734375,0, 
2.96785E+14,1.4811554,8.654846,4.3094788,-241.91142,0.902100,-0.318237,0.399612,1.036701,0, 
2.96785E+14,0.66041565,9.092728,4.5679016,-241.44229,-0.820740,0.437881,0.258423,0.965472,0, 
2.96785E+14,0.31825256,9.011368,3.9481506,-241.21283,-0.342163,-0.081360,-0.619751,0.712591,0, 
2.96785E+14,0.8446655,8.788834,3.677765,-241.49529,0.526413,-0.222534,-0.270386,0.632250,0, 
2.96785E+14,0.5862427,8.961121,4.2879333,-241.72353,-0.258423,0.172287,0.610168,0.684668,0, 
2.96785E+14,0.6388855,9.061615,4.1108704,-241.6495,0.052643,0.100494,-0.177063,0.210290,0, 
2.96785E+14,0.89730835,8.721832,4.051056,-241.72226,0.258423,-0.339783,-0.059814,0.431060,0, 
2.96785E+14,0.38285828,9.188446,4.031906,-241.63867,-0.514450,0.466614,-0.019150,0.694805,0, 
2.96785E+14,0.55274963,8.848663,4.319046,-241.37206,0.169891,-0.339783,0.287140,0.476198,0, 
2.96785E+14,0.6699829,8.958725,4.094116,-241.23631,0.117233,0.110062,-0.224930,0.276497,0, 
2.96785E+14,0.35414124,9.138184,4.055832,-241.27115,-0.315842,0.179459,-0.038284,0.365277,0, 
2.96785E+14,0.72262573,8.750549,4.307083,-241.48448,0.368484,-0.387634,0.251251,0.590905,0, 
